WalkID 1, Step 51, ID 148, energy -193.7131328017626, accpeted false
WalkID 4, Step 45, ID 149, energy -194.035338775683, accpeted false
WalkID 1, Step 52, ID 150, energy -195.1137087081521, accpeted true
WalkID 2, Step 46, ID 151, energy -194.39878919451772, accpeted false
WalkID 3, Step 43, ID 152, energy -194.21759444502806, accpeted false
WalkID 4, Step 46, ID 153, energy -194.32390013116617, accpeted false
WalkID 3, Step 44, ID 154, energy -194.63023778479345, accpeted false
WalkID 1, Step 53, ID 155, energy -195.11164168621718, accpeted true
WalkID 2, Step 47, ID 3, energy -195.2491095060486, accpeted true
WalkID 4, Step 47, ID 156, energy -194.32465829276993, accpeted false
WalkID 1, Step 54, ID 157, energy -194.5600976220883, accpeted false
WalkID 3, Step 45, ID 4, energy -195.19105386211805, accpeted true
WalkID 4, Step 48, ID 158, energy -194.05584724532144, accpeted false
WalkID 2, Step 48, ID 3, energy -195.2491056322621, accpeted true
WalkID 1, Step 55, ID 159, energy -194.8858863484941, accpeted false
WalkID 1, Step 56, ID 160, energy -194.72909835304773, accpeted false
WalkID 2, Step 49, ID 161, energy -195.02148770092694, accpeted false
WalkID 4, Step 49, ID 162, energy -194.64633652556344, accpeted true
WalkID 3, Step 46, ID 4, energy -195.19105519538425, accpeted true
WalkID 2, Step 50, ID 163, energy -195.05583586419124, accpeted false
WalkID 1, Step 57, ID 164, energy -194.64690207801385, accpeted false
WalkID 4, Step 50, ID 165, energy -194.5203642729277, accpeted true
WalkID 3, Step 47, ID 4, energy -195.19105348955384, accpeted true
WalkID 1, Step 58, ID 166, energy -195.11319882053755, accpeted true
WalkID 2, Step 51, ID 3, energy -195.24910376344803, accpeted true
WalkID 1, Step 59, ID 167, energy -194.730277399775, accpeted false
WalkID 3, Step 48, ID 4, energy -195.19104493893656, accpeted false
WalkID 1, Step 60, ID 168, energy -194.72596733791593, accpeted false
WalkID 2, Step 52, ID 169, energy -194.6126243167143, accpeted false
WalkID 4, Step 51, ID 170, energy -194.52883217491217, accpeted true
WalkID 2, Step 53, ID 3, energy -195.2491080848757, accpeted true
WalkID 4, Step 52, ID 171, energy -194.5067155526165, accpeted true
WalkID 1, Step 61, ID 172, energy -195.05650361264873, accpeted false
WalkID 2, Step 54, ID 32, energy -194.98944305165395, accpeted false
WalkID 3, Step 49, ID 4, energy -195.19104317084006, accpeted true
WalkID 2, Step 55, ID 173, energy -194.97061424480484, accpeted false
WalkID 4, Step 53, ID 174, energy -194.3634417640084, accpeted false
WalkID 3, Step 50, ID 175, energy -194.4537090186941, accpeted false
