WalkID 4, Step 58, ID 174, energy -194.95989167246069, accpeted false
WalkID 1, Step 65, ID 175, energy -195.09889493009302, accpeted false
WalkID 4, Step 59, ID 176, energy -194.72771337660188, accpeted false
WalkID 1, Step 66, ID 177, energy -194.9558442084599, accpeted false
WalkID 3, Step 63, ID 4, energy -195.19105827171697, accpeted true
WalkID 2, Step 67, ID 178, energy -194.32481035668494, accpeted false
WalkID 4, Step 60, ID 179, energy -195.09740075856593, accpeted true
WalkID 2, Step 68, ID 41, energy -195.1646045775499, accpeted false
WalkID 1, Step 67, ID 180, energy -195.09942728107018, accpeted false
WalkID 3, Step 64, ID 181, energy -194.6040885435695, accpeted false
WalkID 4, Step 61, ID 182, energy -195.18321756250177, accpeted true
WalkID 3, Step 65, ID 183, energy -194.70905606356413, accpeted false
WalkID 2, Step 69, ID 184, energy -194.42410727362238, accpeted false
WalkID 1, Step 68, ID 166, energy -195.0975025815521, accpeted true
WalkID 3, Step 66, ID 185, energy -195.07861601348583, accpeted false
WalkID 4, Step 62, ID 182, energy -195.18321182378025, accpeted true
WalkID 1, Step 69, ID 186, energy -195.1194481540319, accpeted false
WalkID 2, Step 70, ID 187, energy -194.71281198787202, accpeted false
WalkID 3, Step 67, ID 4, energy -195.19105258685855, accpeted true
WalkID 4, Step 63, ID 188, energy -194.29308174153945, accpeted false
WalkID 1, Step 70, ID 189, energy -195.02179902978645, accpeted false
WalkID 2, Step 71, ID 110, energy -194.89468410000518, accpeted true
WalkID 1, Step 71, ID 190, energy -194.87145170463342, accpeted false
WalkID 3, Step 68, ID 191, energy -195.08745234179938, accpeted false
WalkID 2, Step 72, ID 192, energy -194.48921586482243, accpeted false
WalkID 4, Step 64, ID 193, energy -194.46719693193216, accpeted false
WalkID 1, Step 72, ID 130, energy -195.10241138452184, accpeted false
WalkID 3, Step 69, ID 194, energy -194.78464809022591, accpeted false
WalkID 2, Step 73, ID 195, energy -194.81394797661545, accpeted false
WalkID 3, Step 70, ID 196, energy -194.6612889788627, accpeted false
WalkID 1, Step 73, ID 197, energy -195.0970384830878, accpeted false
WalkID 4, Step 65, ID 182, energy -195.18321597668339, accpeted true
WalkID 2, Step 74, ID 198, energy -194.11907638946394, accpeted false
WalkID 3, Step 71, ID 199, energy -194.7527954747977, accpeted false
WalkID 1, Step 74, ID 200, energy -194.7042440229606, accpeted false
WalkID 4, Step 66, ID 201, energy -194.23101681288566, accpeted false
WalkID 3, Step 72, ID 202, energy -194.87282552291273, accpeted false
WalkID 4, Step 67, ID 203, energy -194.92964640864903, accpeted false
WalkID 2, Step 75, ID 204, energy -194.88364833105206, accpeted false
WalkID 1, Step 75, ID 205, energy -194.66919520079028, accpeted false
WalkID 2, Step 76, ID 206, energy -195.06160615542584, accpeted false
WalkID 4, Step 68, ID 182, energy -195.18321835311775, accpeted true
WalkID 3, Step 73, ID 4, energy -195.19105219503516, accpeted true
WalkID 2, Step 77, ID 119, energy -194.89406517606272, accpeted true
WalkID 2, Step 78, ID 207, energy -195.09675901345537, accpeted false
WalkID 1, Step 76, ID 208, energy -195.09930599415088, accpeted false
WalkID 3, Step 74, ID 209, energy -194.96455813130478, accpeted false
WalkID 3, Step 75, ID 210, energy -194.66653358473098, accpeted false
WalkID 1, Step 77, ID 211, energy -195.09734167976558, accpeted false
WalkID 2, Step 79, ID 212, energy -194.30974707787072, accpeted false
WalkID 4, Step 69, ID 213, energy -194.94627147643558, accpeted false
WalkID 4, Step 70, ID 214, energy -195.0386867909861, accpeted false
WalkID 2, Step 80, ID 215, energy -194.44679656241857, accpeted false
WalkID 1, Step 78, ID 216, energy -194.72182107960396, accpeted false
WalkID 3, Step 76, ID 4, energy -195.19105994053703, accpeted true
WalkID 4, Step 71, ID 217, energy -195.10267635249295, accpeted false
WalkID 1, Step 79, ID 218, energy -194.84146397621438, accpeted false
WalkID 2, Step 81, ID 219, energy -194.25547019879383, accpeted false
WalkID 4, Step 72, ID 182, energy -195.18321586379707, accpeted true
WalkID 4, Step 73, ID 220, energy -194.91334600393378, accpeted false
WalkID 1, Step 80, ID 221, energy -195.0992236578331, accpeted false
WalkID 3, Step 77, ID 4, energy -195.19105068707714, accpeted true
WalkID 2, Step 82, ID 41, energy -195.1650738037208, accpeted false
WalkID 3, Step 78, ID 222, energy -194.80252784229316, accpeted false
WalkID 4, Step 74, ID 223, energy -194.3176075376347, accpeted false
WalkID 2, Step 83, ID 224, energy -194.7019129922475, accpeted false
WalkID 4, Step 75, ID 225, energy -195.03349848840466, accpeted true
WalkID 1, Step 81, ID 226, energy -194.48474299327188, accpeted false
WalkID 4, Step 76, ID 174, energy -194.95953482622411, accpeted false
WalkID 2, Step 84, ID 227, energy -194.4785547802276, accpeted false
WalkID 3, Step 79, ID 4, energy -195.19105669316235, accpeted true
WalkID 1, Step 82, ID 228, energy -194.3940834815352, accpeted false
WalkID 2, Step 85, ID 24, energy -194.89879605402692, accpeted true
WalkID 3, Step 80, ID 229, energy -194.90910514594944, accpeted false
WalkID 4, Step 77, ID 230, energy -194.73483055502933, accpeted false
WalkID 2, Step 86, ID 231, energy -194.20853413937866, accpeted false
WalkID 1, Step 83, ID 232, energy -195.04880605830016, accpeted false
WalkID 4, Step 78, ID 233, energy -195.24579975864305, accpeted true
WalkID 3, Step 81, ID 4, energy -195.19104520056243, accpeted true
WalkID 2, Step 87, ID 173, energy -195.09590216450195, accpeted false
WalkID 4, Step 79, ID 234, energy -194.90133178096306, accpeted false
WalkID 1, Step 84, ID 235, energy -193.93062344280602, accpeted false
WalkID 2, Step 88, ID 37, energy -194.86324009424686, accpeted true
WalkID 2, Step 89, ID 41, energy -195.1649757556811, accpeted false
WalkID 3, Step 82, ID 236, energy -194.70256765738645, accpeted false
WalkID 1, Step 85, ID 237, energy -194.520817781572, accpeted false
WalkID 4, Step 80, ID 238, energy -195.1837164353424, accpeted false
WalkID 3, Step 83, ID 239, energy -194.61334666393662, accpeted false
WalkID 4, Step 81, ID 240, energy -194.92646588225014, accpeted false
WalkID 2, Step 90, ID 37, energy -194.86321711148503, accpeted true
WalkID 1, Step 86, ID 241, energy -194.8406256483193, accpeted false
WalkID 3, Step 84, ID 242, energy -194.97631704015555, accpeted false
WalkID 2, Step 91, ID 243, energy -194.98883738902455, accpeted false
WalkID 4, Step 82, ID 233, energy -195.24579803392123, accpeted true
WalkID 1, Step 87, ID 244, energy -194.81229046919177, accpeted false
WalkID 4, Step 83, ID 245, energy -195.02584968533017, accpeted false
WalkID 3, Step 85, ID 4, energy -195.19105628733823, accpeted true
WalkID 2, Step 92, ID 246, energy -193.8458137998233, accpeted false
WalkID 3, Step 86, ID 247, energy -194.58340027195098, accpeted false
WalkID 1, Step 88, ID 1, energy -195.12503833612342, accpeted false
WalkID 2, Step 93, ID 248, energy -194.59815510260105, accpeted false
WalkID 4, Step 84, ID 249, energy -195.1905904850919, accpeted false
WalkID 1, Step 89, ID 250, energy -195.09786725907162, accpeted false
WalkID 3, Step 87, ID 4, energy -195.19105081045535, accpeted true
WalkID 1, Step 90, ID 251, energy -194.42937129080883, accpeted false
WalkID 4, Step 85, ID 252, energy -194.28550445940385, accpeted false
WalkID 2, Step 94, ID 253, energy -194.35372366857484, accpeted false
WalkID 4, Step 86, ID 254, energy -194.90798922878102, accpeted false
WalkID 2, Step 95, ID 110, energy -194.89470858822662, accpeted true
WalkID 3, Step 88, ID 4, energy -195.19106122519074, accpeted true
WalkID 1, Step 91, ID 255, energy -194.11729057311518, accpeted false
WalkID 4, Step 87, ID 233, energy -195.24580953820234, accpeted true
WalkID 3, Step 89, ID 256, energy -194.75374967946496, accpeted false
WalkID 1, Step 92, ID 257, energy -195.12390284909117, accpeted false
WalkID 3, Step 90, ID 258, energy -194.61025689114405, accpeted false
WalkID 2, Step 96, ID 259, energy -193.99273130964198, accpeted false
WalkID 4, Step 88, ID 233, energy -195.2458084899139, accpeted true
WalkID 3, Step 91, ID 260, energy -194.92830010365893, accpeted false
WalkID 1, Step 93, ID 262, energy -194.75759163023193, accpeted false
WalkID 2, Step 97, ID 261, energy -194.89020749294608, accpeted false
WalkID 4, Step 89, ID 233, energy -195.24580248796988, accpeted true
WalkID 1, Step 94, ID 263, energy -194.2263103108036, accpeted false
WalkID 2, Step 98, ID 264, energy -194.83398253290733, accpeted false
WalkID 4, Step 90, ID 265, energy -194.9939322094057, accpeted false
WalkID 3, Step 92, ID 4, energy -195.19105252604678, accpeted true
WalkID 2, Step 99, ID 41, energy -195.1649500635796, accpeted false
WalkID 4, Step 91, ID 233, energy -195.24581210874985, accpeted true
WalkID 1, Step 95, ID 266, energy -194.13672409742946, accpeted false
WalkID 2, Step 100, ID 41, energy -195.16485383698782, accpeted false
WalkID 1, Step 96, ID 35, energy -195.1090017289666, accpeted false
WalkID 4, Step 92, ID 268, energy -194.99024933636886, accpeted false
WalkID 3, Step 93, ID 267, energy -195.03443539731157, accpeted false
WalkID 4, Step 93, ID 254, energy -194.90760577748807, accpeted false
WalkID 3, Step 94, ID 4, energy -195.19104881234603, accpeted true
WalkID 4, Step 94, ID 2, energy -195.24911053109543, accpeted true
WalkID 1, Step 97, ID 269, energy -194.75586296036354, accpeted false
WalkID 4, Step 95, ID 270, energy -194.91777937843187, accpeted false
